omp_thrd,Gauge_group,MPI_size,GLB_T,GLB_X,GLB_Y,GLB_Z,LOC_T,LOC_X,LOC_Y,LOC_Z,algb_kernel,geom_type,RLXD,SITE_FLOP,SITE_BYTE,Dirc_Data_Mov,Dphi-Reps,Dphi_KB,Dphi_msec,Dphi_GFLOPS,Dphi_BAND,Fused_Reps,Fused_KB,Fused_msec,Fused_GFLOPS,Fused_BAND,Job_Output
13,3,2,8,8,8,8,4,8,8,8,AVX2,OLD,12345,1320,3072,6291456,14926,6144.000000,2046.718994,19.7147,45.8814,14926,6144.000000,2003.730957,20.1376,46.8657,job.na.out
14,3,2,8,8,8,8,4,8,8,8,AVX2,OLD,12345,1320,3072,6291456,15557,6144.000000,2080.930908,20.2103,47.0348,17129,6144.000000,2196.724121,21.0795,49.0578,job.na.out
15,3,2,8,8,8,8,4,8,8,8,AVX2,OLD,12345,1320,3072,6291456,16037,6144.000000,2091.924072,20.7244,48.2312,16037,6144.000000,2013.723022,21.5292,50.1042,job.na.out
16,3,2,8,8,8,8,4,8,8,8,AVX2,OLD,12345,1320,3072,6291456,16106,6144.000000,2044.775024,21.2935,49.5557,18015,6144.000000,2196.020996,22.1769,51.6118,job.na.out
13,3,2,10,8,8,8,5,8,8,8,AVX2,OLD,12345,1320,3072,7864320,14091,7680.000000,2101.779053,22.6552,52.7249,14091,7680.000000,2046.105957,23.2717,54.1595,job.na.out
14,3,2,10,8,8,8,5,8,8,8,AVX2,OLD,12345,1320,3072,7864320,14218,7680.000000,2090.332031,22.9846,53.4915,15652,7680.000000,2194.790039,24.0985,56.0839,job.na.out
15,3,2,10,8,8,8,5,8,8,8,AVX2,OLD,12345,1320,3072,7864320,14432,7680.000000,2056.568115,23.7136,55.188,16082,7680.000000,2196.461914,24.7417,57.5808,job.na.out
16,3,2,10,8,8,8,5,8,8,8,AVX2,OLD,12345,1320,3072,7864320,14807,7680.000000,2058.152100,24.311,56.5784,16566,7680.000000,2192.006104,25.5382,59.4343,job.na.out
13,3,2,12,8,8,8,6,8,8,8,AVX2,OLD,12345,1320,3072,9437184,12767,9216.000000,2111.922119,24.5135,57.0497,12767,9216.000000,2034.991943,25.4402,59.2064,job.na.out
14,3,2,12,8,8,8,6,8,8,8,AVX2,OLD,12345,1320,3072,9437184,13216,9216.000000,2088.951904,25.6547,59.7055,13216,9216.000000,2026.020996,26.4516,61.56,job.na.out
