MPI_SIZE,OMP,GLB_T,GLB_X,GLB_Y,GLB_Z,LOC_T,LOC_X,LOC_Y,LOC_Z,Dirc_Data_Mov,Dphi-Reps,Dphi_KB,Dphi_msec,Dphi_GFLOPS,Dphi_BAND,Fused_Reps,Fused_KB,Fused_msec,Fused_GFLOPS,Fused_BAND
2,16,32,8,8,8,16,8,8,8,25165824,9350,24576.000000,2187.520020,46.2193,107.565,9350,24576.000000,2105.943115,48.0097,111.732
2,16,64,8,8,8,32,8,8,8,50331648,5646,49152.000000,2204.136963,55.3983,128.927,5646,49152.000000,2088.134033,58.4758,136.089   
2,16,128,8,8,8,64,8,8,8,100663296,3172,98304.000000,2148.019043,63.8732,148.65,3172,98304.000000,2095.989014,65.4588,152.34
2,16,256,8,8,8,128,8,8,8,201326592,1034,196608.000000,2198.881104,40.6792,94.6716,1034,196608.000000,2272.820068,39.3559,91.5918
2,16,512,8,8,8,256,8,8,8,402653184,467,393216.000000,2197.257080,36.7722,85.579,467,393216.000000,2349.218994,34.3936,80.0432
