omp_thrd,Gauge_group,MPI_size,GLB_T,GLB_X,GLB_Y,GLB_Z,LOC_T,LOC_X,LOC_Y,LOC_Z,algb_kernel,geom_type,RLXD,SITE_FLOP,SITE_BYTE,Dirc_Data_Mov,Dphi-Reps,Dphi_KB,Dphi_msec,Dphi_GFLOPS,Dphi_BAND,Fused_Reps,Fused_KB,Fused_msec,Fused_GFLOPS,Fused_BAND,Job_Output
26,3,2,8,8,8,8,4,8,8,8,MACRO,OLD,12345,1320,3072,6291456,23628,6144.000000,2211.675049,28.8808,67.2135,26546,6144.000000,2195.479004,32.6869,76.0713,job.na.out
27,3,2,8,8,8,8,4,8,8,8,MACRO,OLD,12345,1320,3072,6291456,23327,6144.000000,2182.304932,28.8966,67.2504,26922,6144.000000,2196.332031,33.137,77.1188,job.na.out
28,3,2,8,8,8,8,4,8,8,8,MACRO,OLD,12345,1320,3072,6291456,23319,6144.000000,2195.559082,28.7123,66.8215,26999,6144.000000,2198.325928,33.2016,77.2693,job.na.out
29,3,2,8,8,8,8,4,8,8,8,MACRO,OLD,12345,1320,3072,6291456,23607,6144.000000,2203.366943,28.964,67.407,27141,6144.000000,2199.376953,33.3603,77.6385,job.na.out
30,3,2,8,8,8,8,4,8,8,8,MACRO,OLD,12345,1320,3072,6291456,24260,6144.000000,2188.576904,29.9663,69.7397,28488,6144.000000,2195.527100,35.0774,81.6346,job.na.out
31,3,2,8,8,8,8,4,8,8,8,MACRO,OLD,12345,1320,3072,6291456,23814,6144.000000,2191.742920,29.3729,68.3587,27444,6144.000000,2200.084961,33.7219,78.48,job.na.out
32,3,2,8,8,8,8,4,8,8,8,MACRO,OLD,12345,1320,3072,6291456,23521,6144.000000,2205.028076,28.8367,67.1109,27422,6144.000000,2198.466064,33.7197,78.4749,job.na.out
26,3,2,10,8,8,8,5,8,8,8,MACRO,OLD,12345,1320,3072,7864320,22124,7680.000000,2196.004883,34.0443,79.2303,24469,7680.000000,2153.706055,38.3923,89.3493,job.na.out
27,3,2,10,8,8,8,5,8,8,8,MACRO,OLD,12345,1320,3072,7864320,22078,7680.000000,2198.687988,33.932,78.9691,24507,7680.000000,2198.502930,37.6684,87.6646,job.na.out
28,3,2,10,8,8,8,5,8,8,8,MACRO,OLD,12345,1320,3072,7864320,22229,7680.000000,2199.991943,34.1439,79.4621,24977,7680.000000,2200.011963,38.3645,89.2846,job.na.out
29,3,2,10,8,8,8,5,8,8,8,MACRO,OLD,12345,1320,3072,7864320,22174,7680.000000,2197.168945,34.1031,79.3673,24920,7680.000000,2197.024902,38.329,89.2019,job.na.out
30,3,2,10,8,8,8,5,8,8,8,MACRO,OLD,12345,1320,3072,7864320,22180,7680.000000,2193.770996,34.1652,79.5118,25238,7680.000000,2195.989990,38.8364,90.3828,job.na.out
31,3,2,10,8,8,8,5,8,8,8,MACRO,OLD,12345,1320,3072,7864320,22295,7680.000000,2196.037109,34.3069,79.8416,25299,7680.000000,2194.820068,38.951,90.6495,job.na.out
32,3,2,10,8,8,8,5,8,8,8,MACRO,OLD,12345,1320,3072,7864320,22243,7680.000000,2195.623047,34.2334,79.6704,25552,7680.000000,2192.677979,39.3789,91.6455,job.na.out
26,3,2,12,8,8,8,6,8,8,8,MACRO,OLD,12345,1320,3072,9437184,20981,9216.000000,2213.435059,38.4374,89.4544,20981,9216.000000,2059.547119,41.3095,96.1384,job.na.out
27,3,2,12,8,8,8,6,8,8,8,MACRO,OLD,12345,1320,3072,9437184,20563,9216.000000,2205.545898,37.8064,87.9858,22771,9216.000000,2197.841064,42.0127,97.7751,job.na.out
28,3,2,12,8,8,8,6,8,8,8,MACRO,OLD,12345,1320,3072,9437184,20857,9216.000000,2207.060059,38.3206,89.1826,20857,9216.000000,2017.209961,41.9272,97.576,job.na.out
29,3,2,12,8,8,8,6,8,8,8,MACRO,OLD,12345,1320,3072,9437184,21258,9216.000000,2199.493896,39.1918,91.2099,21258,9216.000000,2043.817993,42.177,98.1573,job.na.out
30,3,2,12,8,8,8,6,8,8,8,MACRO,OLD,12345,1320,3072,9437184,21869,9216.000000,2201.175049,40.2874,93.7598,21869,9216.000000,2018.546997,43.9324,102.243,job.na.out
31,3,2,12,8,8,8,6,8,8,8,MACRO,OLD,12345,1320,3072,9437184,21340,9216.000000,2202.960938,39.281,91.4176,23703,9216.000000,2169.035889,44.3131,103.129,job.na.out
32,3,2,12,8,8,8,6,8,8,8,MACRO,OLD,12345,1320,3072,9437184,21380,9216.000000,2125.834961,40.7824,94.9119,24125,9216.000000,2188.626953,44.6983,104.025,job.na.out
26,3,2,14,8,8,8,7,8,8,8,MACRO,OLD,12345,1320,3072,11010048,20341,10752.000000,2200.561035,43.7301,101.772,20341,10752.000000,2082.790039,46.2028,107.527,job.na.out
27,3,2,14,8,8,8,7,8,8,8,MACRO,OLD,12345,1320,3072,11010048,20449,10752.000000,2201.331055,43.9469,102.277,20449,10752.000000,2075.947021,46.6013,108.454,job.na.out
28,3,2,14,8,8,8,7,8,8,8,MACRO,OLD,12345,1320,3072,11010048,19859,10752.000000,2206.541016,42.5782,99.0911,19859,10752.000000,2051.924072,45.7866,106.558,job.na.out
29,3,2,14,8,8,8,7,8,8,8,MACRO,OLD,12345,1320,3072,11010048,20614,10752.000000,2202.343018,44.2812,103.054,20614,10752.000000,2062.229980,47.2898,110.056,job.na.out
30,3,2,14,8,8,8,7,8,8,8,MACRO,OLD,12345,1320,3072,11010048,20103,10752.000000,2203.680908,43.1573,100.439,20103,10752.000000,2022.121948,47.0322,109.457,job.na.out
31,3,2,14,8,8,8,7,8,8,8,MACRO,OLD,12345,1320,3072,11010048,20334,10752.000000,2200.852051,43.7093,101.723,20334,10752.000000,2035.612061,47.2574,109.981,job.na.out
32,3,2,14,8,8,8,7,8,8,8,MACRO,OLD,12345,1320,3072,11010048,21036,10752.000000,2239.947998,44.4291,103.399,21036,10752.000000,2065.785889,48.1748,112.116,job.na.out
26,3,2,16,8,8,8,8,8,8,8,MACRO,OLD,12345,1320,3072,12582912,18664,12288.000000,2203.229004,45.8014,106.592,18664,12288.000000,2094.794922,48.1723,112.11,job.na.out
27,3,2,16,8,8,8,8,8,8,8,MACRO,OLD,12345,1320,3072,12582912,19305,12288.000000,2266.604980,46.0498,107.17,19305,12288.000000,2120.437988,49.2241,114.558,job.na.out
28,3,2,16,8,8,8,8,8,8,8,MACRO,OLD,12345,1320,3072,12582912,18917,12288.000000,2195.715088,46.5811,108.407,18917,12288.000000,2050.447998,49.8813,116.087,job.na.out
29,3,2,16,8,8,8,8,8,8,8,MACRO,OLD,12345,1320,3072,12582912,19352,12288.000000,2201.021973,47.5374,110.632,19352,12288.000000,2058.968994,50.8171,118.265,job.na.out
30,3,2,16,8,8,8,8,8,8,8,MACRO,OLD,12345,1320,3072,12582912,19282,12288.000000,2214.334961,47.0807,109.57,19282,12288.000000,2046.317993,50.9463,118.566,job.na.out
31,3,2,16,8,8,8,8,8,8,8,MACRO,OLD,12345,1320,3072,12582912,19552,12288.000000,2202.779053,47.9904,111.687,19552,12288.000000,2041.416016,51.7838,120.515,job.na.out
