omp_thrd,Gauge_group,MPI_size,GLB_T,GLB_X,GLB_Y,GLB_Z,LOC_T,LOC_X,LOC_Y,LOC_Z,algb_kernel,geom_type,RLXD,SITE_FLOP,SITE_BYTE,Dirc_Data_Mov,reps,data_in_kb,msec,GFLOPS,BAND,Job_Output,N_Nodes,NPX,NPY,NPZ,NPT,Total_proc,Total_DataMOV
8,3,16,48,20,20,20,24,10,10,10,AVX2,OLD,12345,1320,3072,73728000.0,1416,72000.0,2233.455321,20.085,46.7432,job.375484.out,1,2,2,2,2,128,1179648000.0
4,3,32,24,20,20,20,6,10,10,10,AVX2,OLD,12345,1320,3072,18432000.0,2930,18000.0,2209.830994,10.5011,24.4389,job.375542.out,1,2,2,2,4,128,589824000.0
4,3,32,20,20,20,20,5,10,10,10,AVX2,OLD,12345,1320,3072,15360000.0,3208,15000.0,2200.010336,9.62395,22.3976,job.375541.out,1,2,2,2,4,128,491520000.0
4,3,32,28,20,20,20,7,10,10,10,AVX2,OLD,12345,1320,3072,21504000.0,2610,21000.0,2201.439496,10.9548,25.4949,job.375543.out,1,2,2,2,4,128,688128000.0
4,3,32,32,20,20,20,8,10,10,10,AVX2,OLD,12345,1320,3072,24576000.0,2364,24000.0,2194.742436,11.3744,26.4713,job.375544.out,1,2,2,2,4,128,786432000.0
4,3,32,36,20,20,20,9,10,10,10,AVX2,OLD,12345,1320,3072,27648000.0,2050,27000.0,2166.587553,11.2407,26.1602,job.375545.out,1,2,2,2,4,128,884736000.0
4,3,32,40,20,20,20,10,10,10,10,AVX2,OLD,12345,1320,3072,30720000.0,1830,30000.0,2203.799479,10.9611,25.5094,job.375546.out,1,2,2,2,4,128,983040000.0
4,3,32,44,20,20,20,11,10,10,10,AVX2,OLD,12345,1320,3072,33792000.0,1855,33000.0,2215.362127,12.1581,28.2952,job.375547.out,1,2,2,2,4,128,1081344000.0
4,3,32,48,20,20,20,12,10,10,10,AVX2,OLD,12345,1320,3072,36864000.0,1172,36000.0,2079.452774,8.92758,20.7769,job.375548.out,1,2,2,2,4,128,1179648000.0
2,3,64,32,20,20,20,4,10,10,10,AVX2,OLD,12345,1320,3072,12288000.0,2329,12000.0,2208.305263,5.56858,12.9596,job.375577.out,1,2,2,2,8,128,786432000.0
2,3,64,40,20,20,20,5,10,10,10,AVX2,OLD,12345,1320,3072,15360000.0,1644,15000.0,2151.596239,5.04295,11.7363,job.375578.out,1,2,2,2,8,128,983040000.0
2,3,64,48,20,20,20,6,10,10,10,AVX2,OLD,12345,1320,3072,18432000.0,1584,18000.0,2230.704051,5.62391,13.0884,job.375579.out,1,2,2,2,8,128,1179648000.0
