omp_thrd,Gauge_group,MPI_size,GLB_T,GLB_X,GLB_Y,GLB_Z,LOC_T,LOC_X,LOC_Y,LOC_Z,algb_kernel,geom_type,RLXD,SITE_FLOP,SITE_BYTE,Dirc_Data_Mov,reps,data_in_kb,msec,GFLOPS,BAND,Job_Output,N_Nodes,NPX,NPY,NPZ,NPT,Total_proc,Total_DataMOV
8,3,16,50,20,20,20,25,10,10,10,AVX2,OLD,12345,1320,3072,76800000.0,1378,75000.0,2175.438702,20.9034,48.6478,job.374862.out,1,2,2,2,2,128,1228800000.0
4,3,32,20,20,20,20,5,10,10,10,AVX2,OLD,12345,1320,3072,15360000.0,3289,15000.0,2192.712569,9.89979,23.0395,job.374918.out,1,2,2,2,4,128,491520000.0
4,3,32,24,20,20,20,6,10,10,10,AVX2,OLD,12345,1320,3072,18432000.0,3053,18000.0,2193.367727,11.024,25.6559,job.374919.out,1,2,2,2,4,128,589824000.0
4,3,32,28,20,20,20,7,10,10,10,AVX2,OLD,12345,1320,3072,21504000.0,2600,21000.0,2174.334242,11.0489,25.7138,job.374920.out,1,2,2,2,4,128,688128000.0
4,3,32,32,20,20,20,8,10,10,10,AVX2,OLD,12345,1320,3072,24576000.0,2411,24000.0,2211.389657,11.5132,26.7943,job.374921.out,1,2,2,2,4,128,786432000.0
4,3,32,36,20,20,20,9,10,10,10,AVX2,OLD,12345,1320,3072,27648000.0,2295,27000.0,2228.023673,12.2371,28.4791,job.374922.out,1,2,2,2,4,128,884736000.0
4,3,32,40,20,20,20,10,10,10,10,AVX2,OLD,12345,1320,3072,30720000.0,1904,30000.0,2221.498606,11.3134,26.3295,job.374923.out,1,2,2,2,4,128,983040000.0
4,3,32,44,20,20,20,11,10,10,10,AVX2,OLD,12345,1320,3072,33792000.0,1755,33000.0,2097.652058,12.1482,28.2721,job.374924.out,1,2,2,2,4,128,1081344000.0
4,3,32,48,20,20,20,12,10,10,10,AVX2,OLD,12345,1320,3072,36864000.0,1586,36000.0,2140.111779,11.7388,27.3193,job.374925.out,1,2,2,2,4,128,1179648000.0
2,3,64,32,20,20,20,4,10,10,10,AVX2,OLD,12345,1320,3072,12288000.0,2357,12000.0,2262.218705,5.50122,12.8028,job.374954.out,1,2,2,2,8,128,786432000.0
2,3,64,40,20,20,20,5,10,10,10,AVX2,OLD,12345,1320,3072,15360000.0,1954,15000.0,2190.226978,5.88816,13.7033,job.374955.out,1,2,2,2,8,128,983040000.0
2,3,64,48,20,20,20,6,10,10,10,AVX2,OLD,12345,1320,3072,18432000.0,1577,18000.0,2273.387061,5.49393,12.7859,job.374956.out,1,2,2,2,8,128,1179648000.0
